,line,__fileposition__
1,"movieId,title,genres",0
2,"1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy",22
3,"2,Jumanji (1995),Adventure|Children|Fantasy",86
4,"3,Grumpier Old Men (1995),Comedy|Romance",131
5,"4,Waiting to Exhale (1995),Comedy|Drama|Romance",173
6,"5,Father of the Bride Part II (1995),Comedy",222
7,"6,Heat (1995),Action|Crime|Thriller",267
8,"7,Sabrina (1995),Comedy|Romance",304
9,"8,Tom and Huck (1995),Adventure|Children",337
10,"9,Sudden Death (1995),Action",379
11,"10,GoldenEye (1995),Action|Adventure|Thriller",409
12,"11,""American President, The (1995)"",Comedy|Drama|Romance",456
13,"12,Dracula: Dead and Loving It (1995),Comedy|Horror",514
14,"13,Balto (1995),Adventure|Animation|Children",567
15,"14,Nixon (1995),Drama",613
16,"15,Cutthroat Island (1995),Action|Adventure|Romance",636
17,"16,Casino (1995),Crime|Drama",689
18,"17,Sense and Sensibility (1995),Drama|Romance",719
19,"18,Four Rooms (1995),Comedy",766
20,"19,Ace Ventura: When Nature Calls (1995),Comedy",795
21,"20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller",844
22,"21,Get Shorty (1995),Comedy|Crime|Thriller",902
23,"22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller",946
24,"23,Assassins (1995),Action|Crime|Thriller",1001
25,"24,Powder (1995),Drama|Sci-Fi",1044
26,"25,Leaving Las Vegas (1995),Drama|Romance",1075
27,"26,Othello (1995),Drama",1118
28,"27,Now and Then (1995),Children|Drama",1143
29,"28,Persuasion (1995),Drama|Romance",1182
30,"29,""City of Lost Children, The (Cité des enfants perdus, La) (1995)"",Adventure|Drama|Fantasy|Mystery|Sci-Fi",1218
31,"30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama",1328
32,"31,Dangerous Minds (1995),Drama",1397
33,"32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller",1430
34,"34,Babe (1995),Children|Drama",1500
35,"36,Dead Man Walking (1995),Crime|Drama",1531
36,"38,It Takes Two (1995),Children|Comedy",1571
37,"39,Clueless (1995),Comedy|Romance",1611
38,"40,""Cry, the Beloved Country (1995)"",Drama",1646
39,"41,Richard III (1995),Drama|War",1690
40,"42,Dead Presidents (1995),Action|Crime|Drama",1723
41,"43,Restoration (1995),Drama",1769
42,"44,Mortal Kombat (1995),Action|Adventure|Fantasy",1798
43,"45,To Die For (1995),Comedy|Drama|Thriller",1848
44,"46,How to Make an American Quilt (1995),Drama|Romance",1892
45,"47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller",1947
46,"48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance",1996
47,"49,When Night Is Falling (1995),Drama|Romance",2059
48,"50,""Usual Suspects, The (1995)"",Crime|Mystery|Thriller",2106
49,"52,Mighty Aphrodite (1995),Comedy|Drama|Romance",2162
50,"53,Lamerica (1994),Adventure|Drama",2211
51,"54,""Big Green, The (1995)"",Children|Comedy",2247
52,"55,Georgia (1995),Drama",2291
53,"57,Home for the Holidays (1995),Drama",2316
54,"58,""Postman, The (Postino, Il) (1994)"",Comedy|Drama|Romance",2355
55,"60,""Indian in the Cupboard, The (1995)"",Adventure|Children|Fantasy",2416
56,"61,Eye for an Eye (1996),Drama|Thriller",2484
57,"62,Mr. Holland's Opus (1995),Drama",2525
58,"63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime",2561
59,"64,Two if by Sea (1996),Comedy|Romance",2658
60,"65,Bio-Dome (1996),Comedy",2698
61,"66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller",2725
62,"68,French Twist (Gazon maudit) (1995),Comedy|Romance",2794
63,"69,Friday (1995),Comedy",2848
64,"70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller",2873
65,"71,Fair Game (1995),Action",2934
66,"72,Kicking and Screaming (1995),Comedy|Drama",2962
67,"73,""Misérables, Les (1995)"",Drama|War",3008
68,"74,Bed of Roses (1996),Drama|Romance",3048
69,"75,Big Bully (1996),Comedy|Drama",3086
70,"76,Screamers (1995),Action|Sci-Fi|Thriller",3120
71,"77,Nico Icon (1995),Documentary",3164
72,"78,""Crossing Guard, The (1995)"",Action|Crime|Drama|Thriller",3197
73,"79,""Juror, The (1996)"",Drama|Thriller",3258
74,"80,""White Balloon, The (Badkonake sefid) (1995)"",Children|Drama",3297
75,"81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance",3362
76,"82,Antonia's Line (Antonia) (1995),Comedy|Drama",3433
77,"83,Once Upon a Time... When We Were Colored (1995),Drama|Romance",3482
78,"85,Angels and Insects (1995),Drama|Romance",3548
79,"86,White Squall (1996),Action|Adventure|Drama",3592
80,"87,Dunston Checks In (1996),Children|Comedy",3639
81,"88,Black Sheep (1996),Comedy",3684
82,"89,Nick of Time (1995),Action|Thriller",3714
83,"92,Mary Reilly (1996),Drama|Horror|Thriller",3754
84,"93,Vampire in Brooklyn (1995),Comedy|Horror|Romance",3799
85,"94,Beautiful Girls (1996),Comedy|Drama|Romance",3852
86,"95,Broken Arrow (1996),Action|Adventure|Thriller",3900
87,"96,In the Bleak Midwinter (1995),Comedy|Drama",3950
88,"97,""Hate (Haine, La) (1995)"",Crime|Drama",3997
89,"99,Heidi Fleiss: Hollywood Madam (1995),Documentary",4039
90,"100,City Hall (1996),Drama|Thriller",4092
91,"101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance",4129
92,"102,Mr. Wrong (1996),Comedy",4186
93,"103,Unforgettable (1996),Mystery|Sci-Fi|Thriller",4215
94,"104,Happy Gilmore (1996),Comedy",4265
95,"105,""Bridges of Madison County, The (1995)"",Drama|Romance",4298
96,"106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama",4357
97,"107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical",4418
98,"108,Catwalk (1996),Documentary",4487
99,"110,Braveheart (1995),Action|Drama|War",4519
100,"111,Taxi Driver (1976),Crime|Drama|Thriller",4559
101,"112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime",4604
102,"113,Before and After (1996),Drama|Mystery",4682
103,"116,Anne Frank Remembered (1995),Documentary",4725
104,"117,""Young Poisoner's Handbook, The (1995)"",Crime|Drama",4771
105,"118,If Lucy Fell (1996),Comedy|Romance",4828
106,"119,""Steal Big, Steal Little (1995)"",Comedy",4868
107,"121,""Boys of St. Vincent, The (1992)"",Drama",4913
108,"122,Boomerang (1992),Comedy|Romance",4958
109,"123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance",4995
110,"125,Flirting With Disaster (1996),Comedy",5068
111,"126,""NeverEnding Story III, The (1994)"",Adventure|Children|Fantasy",5110
112,"128,Jupiter's Wife (1994),Documentary",5178
113,"129,Pie in the Sky (1996),Comedy|Romance",5217
114,"132,Jade (1995),Thriller",5259
115,"135,Down Periscope (1996),Comedy",5285
116,"137,Man of the Year (1995),Documentary",5319
117,"140,Up Close and Personal (1996),Drama|Romance",5359
118,"141,""Birdcage, The (1996)"",Comedy",5407
119,"144,""Brothers McMullen, The (1995)"",Comedy",5442
