,line,__fileposition__
1,"userId,movieId,rating,timestamp",0
2,"1,1,4.0,964982703",33
3,"1,3,4.0,964981247",52
4,"1,6,4.0,964982224",71
5,"1,47,5.0,964983815",90
6,"1,50,5.0,964982931",110
7,"1,70,3.0,964982400",130
8,"1,101,5.0,964980868",150
9,"1,110,4.0,964982176",171
10,"1,151,5.0,964984041",192
11,"1,157,5.0,964984100",213
12,"1,163,5.0,964983650",234
13,"1,216,5.0,964981208",255
14,"1,223,3.0,964980985",276
15,"1,231,5.0,964981179",297
16,"1,235,4.0,964980908",318
17,"1,260,5.0,964981680",339
18,"1,296,3.0,964982967",360
19,"1,316,3.0,964982310",381
20,"1,333,5.0,964981179",402
21,"1,349,4.0,964982563",423
22,"1,356,4.0,964980962",444
23,"1,362,5.0,964982588",465
24,"1,367,4.0,964981710",486
25,"1,423,3.0,964982363",507
26,"1,441,4.0,964980868",528
27,"1,457,5.0,964981909",549
28,"1,480,4.0,964982346",570
29,"1,500,3.0,964981208",591
30,"1,527,5.0,964984002",612
31,"1,543,4.0,964981179",633
32,"1,552,4.0,964982653",654
33,"1,553,5.0,964984153",675
34,"1,590,4.0,964982546",696
35,"1,592,4.0,964982271",717
36,"1,593,4.0,964983793",738
37,"1,596,5.0,964982838",759
38,"1,608,5.0,964982931",780
39,"1,648,3.0,964982563",801
40,"1,661,5.0,964982838",822
41,"1,673,3.0,964981775",843
42,"1,733,4.0,964982400",864
43,"1,736,3.0,964982653",885
44,"1,780,3.0,964984086",906
45,"1,804,4.0,964980499",927
46,"1,919,5.0,964982475",948
47,"1,923,5.0,964981529",969
48,"1,940,5.0,964982176",990
49,"1,943,4.0,964983614",1011
50,"1,954,5.0,964983219",1032
51,"1,1009,3.0,964981775",1053
52,"1,1023,5.0,964982681",1075
53,"1,1024,5.0,964982876",1097
54,"1,1025,5.0,964982791",1119
55,"1,1029,5.0,964982855",1141
56,"1,1030,3.0,964982903",1163
57,"1,1031,5.0,964982653",1185
58,"1,1032,5.0,964982791",1207
59,"1,1042,4.0,964981179",1229
60,"1,1049,5.0,964982400",1251
61,"1,1060,4.0,964980924",1273
62,"1,1073,5.0,964981680",1295
63,"1,1080,5.0,964981327",1317
64,"1,1089,5.0,964982951",1339
65,"1,1090,4.0,964984018",1361
66,"1,1092,5.0,964983484",1383
67,"1,1097,5.0,964981680",1405
68,"1,1127,4.0,964982513",1427
69,"1,1136,5.0,964981327",1449
70,"1,1196,5.0,964981827",1471
71,"1,1197,5.0,964981872",1493
72,"1,1198,5.0,964981827",1515
73,"1,1206,5.0,964983737",1537
74,"1,1208,4.0,964983250",1559
75,"1,1210,5.0,964980499",1581
76,"1,1213,5.0,964982951",1603
77,"1,1214,4.0,964981855",1625
78,"1,1219,2.0,964983393",1647
79,"1,1220,5.0,964981909",1669
80,"1,1222,5.0,964981909",1691
81,"1,1224,5.0,964984018",1713
82,"1,1226,5.0,964983618",1735
83,"1,1240,5.0,964983723",1757
84,"1,1256,5.0,964981442",1779
85,"1,1258,3.0,964983414",1801
86,"1,1265,4.0,964983599",1823
87,"1,1270,5.0,964983705",1845
88,"1,1275,5.0,964982290",1867
89,"1,1278,5.0,964983414",1889
90,"1,1282,5.0,964982703",1911
91,"1,1291,5.0,964981909",1933
92,"1,1298,5.0,964984086",1955
93,"1,1348,4.0,964983393",1977
94,"1,1377,3.0,964982653",1999
95,"1,1396,3.0,964983017",2021
96,"1,1408,3.0,964982310",2043
97,"1,1445,3.0,964984112",2065
98,"1,1473,4.0,964980875",2087
99,"1,1500,4.0,964980985",2109
100,"1,1517,5.0,964981107",2131
101,"1,1552,4.0,964982620",2153
102,"1,1573,5.0,964982290",2175
103,"1,1580,3.0,964981125",2197
104,"1,1587,5.0,964982346",2219
105,"1,1617,5.0,964982951",2241
106,"1,1620,4.0,964983056",2263
107,"1,1625,5.0,964983504",2285
108,"1,1644,3.0,964983536",2307
109,"1,1676,3.0,964982620",2329
110,"1,1732,5.0,964981125",2351
111,"1,1777,4.0,964981230",2373
112,"1,1793,4.0,964981404",2395
113,"1,1804,5.0,964983034",2417
114,"1,1805,4.0,964983056",2439
115,"1,1920,4.0,964981780",2461
